epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,3301.2,1.3895,1.06334,1.26201,0.72119,0.37811,0.44566,0.32517,1.12002,0.94903,1.27843,0.003664,0.003664,0.003664
130,3322.28,1.36664,1.03353,1.26048,0.6859,0.38807,0.44853,0.32334,1.13068,0.94804,1.26164,0.0036145,0.0036145,0.0036145
131,3342.74,1.36347,1.05533,1.27403,0.7292,0.37572,0.44321,0.32263,1.1217,0.93957,1.27928,0.003565,0.003565,0.003565
132,3362.61,1.35249,1.03317,1.26474,0.70814,0.39664,0.45722,0.33627,1.11358,0.92725,1.25925,0.0035155,0.0035155,0.0035155
133,3383.51,1.37637,1.05567,1.24451,0.69352,0.39918,0.44957,0.33089,1.11046,0.94199,1.27857,0.003466,0.003466,0.003466
134,3404.43,1.34162,1.03322,1.24721,0.67307,0.37915,0.43615,0.31756,1.11119,0.94812,1.29034,0.0034165,0.0034165,0.0034165
135,3425.72,1.38143,1.05264,1.24722,0.68958,0.38402,0.4445,0.32305,1.11583,0.93489,1.26427,0.003367,0.003367,0.003367
136,3445.89,1.36868,1.02184,1.24073,0.70316,0.3845,0.44742,0.32861,1.11881,0.93477,1.27021,0.0033175,0.0033175,0.0033175
137,3466.63,1.33849,1.0064,1.25066,0.68953,0.38779,0.44583,0.32737,1.11628,0.93024,1.27519,0.003268,0.003268,0.003268
138,3486.78,1.34136,1.03626,1.27176,0.74222,0.38702,0.45703,0.32963,1.12137,0.9349,1.27005,0.0032185,0.0032185,0.0032185
139,3506.84,1.35699,1.04243,1.25748,0.68748,0.39132,0.45066,0.32805,1.12576,0.93418,1.26846,0.003169,0.003169,0.003169
140,3527.31,1.34841,1.0227,1.24068,0.70637,0.38472,0.44319,0.32458,1.1216,0.93923,1.25593,0.0031195,0.0031195,0.0031195
141,3547.47,1.34535,1.00859,1.24443,0.69575,0.39123,0.45415,0.33325,1.10044,0.93743,1.25883,0.00307,0.00307,0.00307
142,3568.11,1.34571,1.01868,1.24747,0.70227,0.39621,0.46053,0.34059,1.09693,0.92656,1.30407,0.0030205,0.0030205,0.0030205
143,3588.45,1.33539,1.00194,1.23866,0.73023,0.39472,0.46393,0.34129,1.10268,0.91591,1.26593,0.002971,0.002971,0.002971
144,3608.82,1.34243,1.0064,1.24484,0.70669,0.3954,0.4615,0.33595,1.10861,0.92043,1.26533,0.0029215,0.0029215,0.0029215
145,3629.04,1.3316,1.01334,1.24133,0.73135,0.39645,0.45974,0.33889,1.10109,0.90532,1.25203,0.002872,0.002872,0.002872
146,3649.51,1.32241,1.00309,1.24306,0.71448,0.39438,0.46295,0.33987,1.08601,0.90125,1.25182,0.0028225,0.0028225,0.0028225
147,3669.43,1.32208,1.00686,1.23692,0.72879,0.39008,0.46266,0.34068,1.09206,0.90427,1.24849,0.002773,0.002773,0.002773
148,3690.01,1.32843,1.00183,1.23082,0.73858,0.38985,0.45447,0.33224,1.11418,0.92399,1.25056,0.0027235,0.0027235,0.0027235
149,3709.92,1.34485,1.0362,1.24789,0.73118,0.39309,0.46075,0.3368,1.10021,0.90081,1.2564,0.002674,0.002674,0.002674
150,3730.5,1.33043,1.00541,1.2594,0.71255,0.39946,0.46438,0.34029,1.10334,0.90505,1.26833,0.0026245,0.0026245,0.0026245
151,3750.06,1.31976,1.01082,1.25154,0.69776,0.39823,0.46101,0.34086,1.0837,0.89586,1.25099,0.002575,0.002575,0.002575
152,3770.93,1.36165,1.02471,1.24383,0.7039,0.39971,0.46331,0.34271,1.09577,0.91169,1.25981,0.0025255,0.0025255,0.0025255
153,3791.05,1.32023,1.00079,1.24844,0.72632,0.39472,0.46558,0.34545,1.08537,0.90203,1.25265,0.002476,0.002476,0.002476
154,3811.79,1.34194,1.00852,1.24534,0.6943,0.39726,0.45849,0.33677,1.10211,0.90228,1.25308,0.0024265,0.0024265,0.0024265
155,3832.31,1.31062,0.99178,1.22323,0.71206,0.40328,0.46981,0.34619,1.08542,0.89719,1.27304,0.002377,0.002377,0.002377
156,3852.25,1.33092,1.00018,1.22856,0.74856,0.39259,0.46464,0.34203,1.08651,0.89694,1.25634,0.0023275,0.0023275,0.0023275
157,3872.78,1.32772,0.99197,1.23293,0.74274,0.40341,0.46993,0.34743,1.0837,0.90064,1.26297,0.002278,0.002278,0.002278
158,3893.02,1.318,0.9898,1.23355,0.71744,0.40793,0.46638,0.34532,1.0767,0.89033,1.27118,0.0022285,0.0022285,0.0022285
159,3913.73,1.30548,0.96811,1.22947,0.74546,0.40104,0.47086,0.35001,1.07199,0.89031,1.24685,0.002179,0.002179,0.002179
160,3933.95,1.31559,0.98625,1.24372,0.71079,0.40636,0.47063,0.34647,1.0857,0.89465,1.25619,0.0021295,0.0021295,0.0021295
161,3954.75,1.31736,0.99734,1.22333,0.67367,0.4177,0.4723,0.34984,1.07647,0.88299,1.27381,0.00208,0.00208,0.00208
162,3974.6,1.30886,0.99024,1.23779,0.68295,0.41532,0.47424,0.34998,1.07642,0.89212,1.2619,0.0020305,0.0020305,0.0020305
163,3995.05,1.29177,0.98308,1.23745,0.70536,0.40742,0.47099,0.34907,1.07702,0.88992,1.2596,0.001981,0.001981,0.001981
164,4014.74,1.3131,0.97438,1.22274,0.69034,0.407,0.47112,0.348,1.08626,0.88563,1.2524,0.0019315,0.0019315,0.0019315
165,4035.24,1.30184,0.97185,1.21559,0.70589,0.40562,0.47203,0.34895,1.07529,0.89484,1.24791,0.001882,0.001882,0.001882
166,4055.44,1.30399,0.96099,1.22776,0.72574,0.39666,0.46721,0.34638,1.06828,0.88905,1.25624,0.0018325,0.0018325,0.0018325
167,4075.76,1.31923,0.99739,1.23866,0.71096,0.40736,0.47311,0.35103,1.06977,0.8805,1.24428,0.001783,0.001783,0.001783
168,4096.19,1.30826,0.98457,1.22699,0.74603,0.40289,0.47628,0.35439,1.06491,0.88421,1.24411,0.0017335,0.0017335,0.0017335
169,4116.59,1.28503,0.9467,1.24927,0.75071,0.40928,0.47919,0.35917,1.0763,0.8856,1.24307,0.001684,0.001684,0.001684
170,4136.79,1.29288,0.9708,1.21967,0.75712,0.41557,0.48252,0.35811,1.07518,0.8703,1.23818,0.0016345,0.0016345,0.0016345
